Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
798,2.226184776111029,2.1578071878450866,2.110608438290295,2.196337750373632,1.9523140876719947,2.223518327602,,
799,2.2261483574916294,2.1574529766626065,2.110555846316658,2.1958908399490777,1.95223613359878,2.2231779512695153,,
800,2.225819478162496,2.157349225920556,2.110036389117578,2.1956928688058075,1.951742303790989,2.222905772505351,,
801,2.225579670524789,2.157099791635692,2.109355676159717,2.19560735452733,1.9515072633570978,2.222684277595384,,
802,2.225491184952025,2.156714352864773,2.1090127759408945,2.195336130166661,1.9513429837344207,2.2225222781506706,,
803,2.2252713177005425,2.156590527772028,2.108248614961953,2.195182511344555,1.9512073970473314,2.222177197529007,,
804,2.224968707446016,2.1563150648882474,2.1080193720875795,2.195092187042814,1.9509684286572926,2.2219790201610015,,
805,2.2247791610735765,2.155981685107191,2.107675862600977,2.194963917638865,1.9505875776883232,2.2217901828062168,,
806,2.2244805768431126,2.1557663533983233,2.107186616920176,2.194743760320368,1.9499980316281333,2.2217316755479253,,
807,2.2243789412957713,2.1554411463215786,2.106791594073556,2.1945236521272378,1.9498754900813924,2.2215145293648946,,
808,2.2238856417069996,2.155142333746369,2.106761370131337,2.1940838319527587,1.9494574850718538,2.2212275280014406,,
809,2.22369364225346,2.1550507871828892,2.1067003961403907,2.193616677846964,1.9491668709271581,2.220896237835798,,
810,2.223366568957008,2.1548191739571445,2.1065724149208918,2.1931885745652404,1.9489978972684516,2.2206915927921953,,
811,2.223053067310231,2.154283983335267,2.1063232653091744,2.193050064282686,1.9486291799989537,2.2205210274651774,,
812,2.2227228096135123,2.1540684498523253,2.1058996655029016,2.1928335439248507,1.9484196275803038,2.2202789781673546,,
813,2.2224876118348122,2.1536287215164407,2.105730525619994,2.1922791440728386,1.9483696868425344,2.2198892385188427,,
814,2.2222478024595156,2.153401780950931,2.1055852354039235,2.1919131427885983,1.948018671959123,2.2195759238082706,,
815,2.2219009406393497,2.15325742125002,2.105346272240987,2.19166884416305,1.947461720662304,2.219149957951878,,
816,2.221761453417096,2.1531110191454808,2.1052201806795985,2.191630167310259,1.9471838229273493,2.2189346206758227,,
817,2.221486280128256,2.1522658103218864,2.105020518638039,2.1914395170953624,1.9469267826272965,2.2186751595777428,,
818,2.220991451208952,2.152096663918439,2.104087111669982,2.1913711679191876,1.9465943639362704,2.2183955878950123,,
819,2.22060258364772,2.1518859740571497,2.1037718567928985,2.1912493818217094,1.9458280018331207,2.218275546146065,,
820,2.22016845370061,2.1518254770440386,2.1036085318035975,2.190741862352214,1.9453722017311568,2.2177744159917308,,
821,2.2200577521650473,2.1517128093370412,2.1034991774945446,2.190531600714963,1.9449310930214532,2.2175423458352,,
822,2.2199087686468144,2.1515029385687687,2.1033018629376863,2.189853617269315,1.94459107842306,2.2174444044923356,,
823,2.2196266429228584,2.151148527376093,2.103072078897032,2.1898165163534182,1.9443582229202496,2.217252558883387,,
824,2.2195394104055386,2.150528927369746,2.102858712877812,2.189577361070351,1.9443006515124246,2.2168999931416504,,
825,2.21943407491282,2.1504072806940746,2.1027784522890887,2.1894260691384653,1.9437983972140467,2.216784310708552,,
826,2.219170380691575,2.1501618232793893,2.1018743162931637,2.1893591285811937,1.943549010186672,2.216527488298917,,
827,2.2189628084752266,2.149503854468277,2.1011869221666326,2.1892171202166124,1.9430352447663968,2.2162273120627907,,
828,2.2187641740868576,2.1490344179066785,2.100986473746772,2.188582360029942,1.9424361506172918,2.215960005821564,,
829,2.2184742268207924,2.1487392303628483,2.1003381848998313,2.187754347630755,1.9415910241531165,2.2157510114526593,,
830,2.2183694758988777,2.1486386473389483,2.0998065788316422,2.187344514546527,1.9413111847815443,2.2149845708800786,,
831,2.2179749640025834,2.14850819290582,2.0993372173332445,2.187036020459409,1.940716767904919,2.2144558369245515,,
832,2.217716904129852,2.1479581257600318,2.099146745731408,2.186943845803063,1.9406625008267766,2.2140809399056383,,
833,2.2174519978554996,2.1476070022732854,2.0988676696451956,2.1867519230455663,1.9401064637994931,2.2137897643807523,,
834,2.2173795459856147,2.147364418917746,2.0988099453098976,2.18669274797113,1.9398243339134678,2.213554478010415,,
835,2.2171936038315794,2.147231153314492,2.0987690596736077,2.1864267380266615,1.9394441079820124,2.213231809975779,,
836,2.2165662020596506,2.1469751219773565,2.0982923639790014,2.186313762001085,1.9392054433253325,2.213109198815052,,
