I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6
0.3217812,0.8508291,0.4739764,0.9979515,0.9684093,0.05792287,0.47791,0.3173901,0.3636975,0.5037453,0.7898629,0.4942675
0.3391134,0.8286874,0.7395188,0.8669882,0.6080743,0.8096355,0.6561945,0.5473273,0.5111772,0.5818031,0.506797,0.6121407
0.5488508,0.672154,0.7289945,0.81274,0.1696281,0.3470466,0.787115,0.4515278,0.2134441,0.5289245,0.6628395,0.5812734
0.3993404,0.5863326,0.6316739,0.03696467,0.4619997,0.7030139,0.675855,0.6143777,0.1110219,0.3205206,0.1286003,0.5226521
0.5651088,0.795473,0.8182824,0.0524503,0.999731,0.7781948,0.7660814,0.7959405,0.7106568,0.658215,0.1116635,0.6847218
0.4961025,0.5841287,0.4044816,0.8349348,0.2044707,0.2140452,0.2353519,0.6982715,0.07685078,0.2382203,0.8772534,0.5712799
0.3785196,0.7301553,0.4891229,0.1258556,0.2772539,0.6541081,0.5215179,0.1059343,0.1801112,0.6921515,0.8172946,0.6818483
0.3163893,0.470241,0.3903514,0.09038923,0.610907,0.4211287,0.4210064,0.9437065,0.3168844,0.4602352,0.2929351,0.6766245
0.5735468,0.6062246,0.4884683,0.9936931,0.2026758,0.5244431,0.01570374,0.005943678,0.005897982,0.2146847,0.7768475,0.3997637
0.3945557,0.5535595,0.5058555,0.9151263,0.246938,0.7703488,0.5573944,0.8760253,0.08956199,0.6787809,0.909021,0.26739
0.7727518,0.6693429,0.5993778,0.8608591,0.1601197,0.5318872,0.9437075,0.5787463,0.3323443,0.2396625,0.5264015,0.3528073
0.6615152,0.5362963,0.6906885,0.1638798,0.7438776,0.8077376,0.8813141,0.856092,0.2836893,0.3114536,0.005003148,0.5791322
