Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
252,0.00031199,0.000275194,0.000455543,0.000326957,0.000348178,0.000336025
253,0.000312153,0.000276043,0.000455265,0.000319813,0.000347165,0.000337129
254,0.000314051,0.000272078,0.000454367,0.00032035,0.000348792,0.000337129
255,0.000314051,0.000272078,0.000455862,0.000319834,0.000350488,0.000334956
256,0.000314051,0.000272078,0.000456635,0.000319834,0.000342204,0.000334956
257,0.000314051,0.000272078,0.000458722,0.000320545,0.00034094,0.000334956
258,0.000314051,0.000273331,0.000458554,0.000317414,0.00033519,0.000327492
259,0.000314051,0.000273331,0.000458357,0.000318676,0.00033519,0.000324487
260,0.000314051,0.000274139,0.000459523,0.000318676,0.000334384,0.00032263
261,0.000313788,0.000274139,0.000459071,0.000318676,0.000334384,0.000322407
262,0.000313788,0.000273258,0.000460813,0.000318676,0.000334893,0.000322407
263,0.000314993,0.000272916,0.000461804,0.000319629,0.000334893,0.000323927
264,0.000316811,0.000272916,0.000462479,0.000316393,0.000331792,0.000325825
265,0.000315285,0.000272916,0.000461899,0.000316406,0.000330071,0.000325825
266,0.000315285,0.000272916,0.000460968,0.000318827,0.000330416,0.000325299
267,0.000315624,0.000272916,0.000460968,0.000318827,0.000330128,0.000325299
268,0.000319876,0.000272916,0.000462154,0.000312346,0.000326963,0.000323687
269,0.000319876,0.000272916,0.00046327,0.000314468,0.000326809,0.000325094
270,0.000317476,0.000272802,0.000462127,0.000315957,0.000326809,0.000321516
271,0.000315313,0.000273267,0.000462387,0.000315957,0.000326809,0.000314272
272,0.000311404,0.000272835,0.000462386,0.000314662,0.00032532,0.000314272
273,0.000311475,0.000272887,0.000462765,0.000316263,0.000323541,0.000314272
274,0.000312121,0.000272887,0.000462765,0.000311714,0.000323541,0.000314245
275,0.000312121,0.000272289,0.000462765,0.000311714,0.000322303,0.000314245
276,0.000307168,0.000273614,0.00046194,0.000311714,0.000322303,0.00031626
277,0.000307168,0.000267298,0.000461913,0.000312797,0.000319395,0.00031332
278,0.000307168,0.000267298,0.000461212,0.000314345,0.000315188,0.000312833
279,0.000305004,0.000266921,0.000461042,0.000314345,0.000315188,0.000312833
280,0.000305004,0.000265286,0.000460652,0.000313843,0.000316935,0.000312792
281,0.000305004,0.000264172,0.000459702,0.000313843,0.000316935,0.000312792
282,0.000305004,0.000262816,0.000462839,0.000316386,0.000316112,0.000312792
283,0.000305004,0.000262816,0.000461333,0.000314296,0.000307417,0.000314239
284,0.000304638,0.000262816,0.000463566,0.000314296,0.000307417,0.000314239
285,0.000304638,0.000262626,0.00046256,0.000314296,0.000307417,0.000313933
286,0.000305941,0.000261701,0.00046256,0.000312401,0.000308998,0.000313933
287,0.000305832,0.000261265,0.000462801,0.000312247,0.000308704,0.000314529
288,0.000305832,0.000262513,0.000457377,0.000311472,0.000308704,0.000316836
289,0.000305832,0.000261673,0.000458112,0.000311472,0.000308704,0.000318843
290,0.000300207,0.000262895,0.000458899,0.000311472,0.000309848,0.000318843
291,0.000298194,0.000262894,0.000459714,0.000311472,0.000311056,0.00031597
292,0.000295692,0.000261814,0.000462079,0.000309701,0.000311056,0.000316819
293,0.000295692,0.000263159,0.000465002,0.000307623,0.000312191,0.000316819
294,0.000295692,0.000237555,0.000458907,0.000307623,0.000312191,0.000315263
295,0.000295692,0.000237555,0.000450916,0.000307255,0.000307631,0.000315263
296,0.000296862,0.000237555,0.000451211,0.000304447,0.000307085,0.000313013
297,0.000296862,0.000237555,0.000451211,0.000304447,0.000307006,0.000314543
298,0.000299206,0.000237555,0.000452015,0.000299719,0.000306108,0.000318442
299,0.000299206,0.000237555,0.00045192,0.000300261,0.000306108,0.000317884
300,0.000299206,0.000237555,0.000453032,0.000300059,0.000306108,0.000317884
301,0.000294684,0.000237924,0.000452545,0.000300059,0.00030495,0.000314801
302,0.000294684,0.000236587,0.000450627,0.00029887,0.00030495,0.000317148
303,0.000298541,0.000236587,0.000449865,0.00029887,0.00030517,0.000312367
304,0.000298541,0.00023406,0.000448545,0.000300722,0.000302938,0.000312367
305,0.000298541,0.000234609,0.000448116,0.000300722,0.000302938,0.000312121
306,0.000293539,0.000234609,0.000449741,0.000300722,0.000302672,0.000312121
307,0.000293539,0.000231406,0.000448304,0.000302728,0.000302672,0.000312121
308,0.000293539,0.000231406,0.000447849,0.000302728,0.000302266,0.000316152
309,0.000293539,0.000232346,0.000449813,0.000302728,0.000305786,0.000316152
310,0.00029627,0.000232346,0.000447254,0.000301893,0.000305786,0.000316152
311,0.00029627,0.000231101,0.000447254,0.000299368,0.000298925,0.000314272
312,0.00029627,0.000231101,0.000440555,0.00029765,0.000298925,0.00031039
