Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
357,1.962966442,1.96959687,1.983716392,1.966060913,1.967157891,1.965271043
358,1.962933452,1.969690841,1.983601323,1.966060387,1.967022445,1.965270166
359,1.962933108,1.969734308,1.983448711,1.965840769,1.966991479,1.965268952
360,1.96293209,1.969733811,1.983442126,1.965840385,1.966849514,1.965247085
361,1.962886347,1.969733282,1.983583076,1.965826021,1.966780845,1.965299677
362,1.962780127,1.969732951,1.983516807,1.965604158,1.966780638,1.965224856
363,1.96276885,1.96973176,1.983418278,1.965484723,1.966725757,1.965193158
364,1.962819766,1.969679945,1.983410952,1.965429212,1.966585543,1.965192694
365,1.96250847,1.969396188,1.98337655,1.965332886,1.966673098,1.965192514
366,1.962486626,1.969395635,1.983209202,1.965292889,1.966454286,1.965192347
367,1.962480577,1.969293289,1.983304175,1.965226411,1.966377239,1.965141266
368,1.962437669,1.969312991,1.983195737,1.96522589,1.96631922,1.965141021
369,1.962196846,1.969189649,1.983036176,1.965147623,1.966172487,1.965140908
370,1.962089993,1.969308065,1.983120388,1.965038118,1.966133725,1.964993884
371,1.962176193,1.969283441,1.982974388,1.964861138,1.966064222,1.964986724
372,1.962125467,1.969263192,1.983044416,1.964772103,1.965935849,1.964938568
373,1.962124794,1.969220283,1.982948229,1.964784383,1.965935347,1.964839138
374,1.962042508,1.969198671,1.982947937,1.96478402,1.965935126,1.964863039
375,1.962080288,1.96919809,1.982947678,1.964770408,1.965934801,1.964760246
376,1.96203669,1.969161083,1.982894068,1.964770092,1.965935293,1.964709561
377,1.962024574,1.969110317,1.982921897,1.964743993,1.965877714,1.964668909
378,1.962024372,1.969110078,1.983128326,1.964606023,1.966033596,1.964560686
379,1.961880593,1.968788488,1.982819923,1.96459348,1.966032933,1.96459379
380,1.961880447,1.968788216,1.982794025,1.964573061,1.9660328,1.964593409
381,1.961879828,1.968739723,1.982741174,1.964492733,1.966032522,1.964507861
382,1.961832013,1.968708463,1.982827127,1.964492302,1.966024066,1.964506339
383,1.961783323,1.968687661,1.982687083,1.964413609,1.966014097,1.964441401
384,1.961728202,1.968441859,1.982500347,1.964413291,1.966013899,1.96438861
385,1.961727413,1.968409122,1.982499966,1.964412964,1.9660136,1.964388526
386,1.961727332,1.968184214,1.982499631,1.964298641,1.966004555,1.964287232
387,1.961717836,1.968143131,1.982434482,1.96413552,1.965999565,1.964351086
388,1.961631845,1.968032781,1.982397304,1.964135141,1.965877822,1.964406714
389,1.961630903,1.96771765,1.982394422,1.964105661,1.965742559,1.964357569
390,1.961586696,1.967702605,1.982426261,1.96410405,1.96578192,1.964357479
391,1.961586267,1.96767019,1.982411706,1.963911601,1.965759227,1.964192386
392,1.961357818,1.967609797,1.982392826,1.963894233,1.965697111,1.964191815
393,1.961357508,1.967513425,1.982382292,1.963893093,1.965696776,1.964112582
394,1.961357201,1.96754973,1.981970799,1.963885155,1.965696437,1.964087418
395,1.96135606,1.967548463,1.982062523,1.963882168,1.965643311,1.963909431
