Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
334,99.16%,98.8%,97.72%,98.94%,98.92%,99.24%,,
335,99.16%,98.8%,97.72%,98.94%,98.92%,99.26%,,
336,99.16%,98.8%,97.72%,98.96000000000001%,98.94%,99.28%,,
337,99.16%,98.82%,97.72%,98.96000000000001%,98.96000000000001%,99.3%,,
338,99.16%,98.82%,97.72%,98.96000000000001%,98.96000000000001%,99.32%,,
339,99.16%,98.82%,97.74000000000001%,98.96000000000001%,98.96000000000001%,99.32%,,
340,99.16%,98.82%,97.74000000000001%,98.96000000000001%,98.96000000000001%,99.32%,,
341,99.16%,98.82%,97.74000000000001%,98.98%,98.96000000000001%,99.32%,,
342,99.16%,98.82%,97.74000000000001%,98.98%,98.96000000000001%,99.32%,,
343,99.16%,98.82%,97.74000000000001%,98.98%,98.96000000000001%,99.33999999999999%,,
344,99.18%,98.82%,97.74000000000001%,98.98%,98.98%,99.33999999999999%,,
345,99.18%,98.82%,97.76%,98.98%,99.02%,99.33999999999999%,,
346,99.18%,98.82%,97.76%,98.98%,99.02%,99.33999999999999%,,
347,99.18%,98.82%,97.76%,98.98%,99.03999999999999%,99.33999999999999%,,
348,99.18%,98.83999999999999%,97.76%,98.98%,99.06%,99.33999999999999%,,
349,99.18%,98.83999999999999%,97.78%,98.98%,99.06%,99.33999999999999%,,
350,99.18%,98.83999999999999%,97.8%,98.98%,99.06%,99.33999999999999%,,
351,99.18%,98.83999999999999%,97.8%,98.98%,99.06%,99.33999999999999%,,
352,99.18%,98.83999999999999%,97.82%,98.98%,99.06%,99.33999999999999%,,
353,99.2%,98.83999999999999%,97.82%,98.98%,99.06%,99.33999999999999%,,
